Matrix size;Threads per block;Time(ms);Time(s)
2;2;0.904534;0.000905
2;4;0.855858;0.000856
2;8;0.873642;0.000874
2;16;0.871404;0.000871
2;32;0.869187;0.000869
4;2;0.879943;0.000880
4;4;0.875554;0.000876
4;8;0.869044;0.000869
4;16;0.888193;0.000888
4;32;0.876902;0.000877
8;2;0.871287;0.000871
8;4;0.870908;0.000871
8;8;0.895997;0.000896
8;16;0.867881;0.000868
8;32;0.868702;0.000869
16;2;0.871136;0.000871
16;4;0.866735;0.000867
16;8;0.869707;0.000870
16;16;0.908408;0.000908
16;32;0.870702;0.000871
32;2;0.879684;0.000880
32;4;0.871416;0.000871
32;8;0.876494;0.000876
32;16;0.872291;0.000872
32;32;0.871091;0.000871
64;2;0.910927;0.000911
64;4;0.883954;0.000884
64;8;0.879950;0.000880
64;16;0.872491;0.000872
64;32;0.886698;0.000887
128;2;1.009046;0.001009
128;4;0.947627;0.000948
128;8;0.934943;0.000935
128;16;0.936338;0.000936
128;32;0.934583;0.000935
256;2;1.769833;0.001770
256;4;1.375409;0.001375
256;8;1.243051;0.001243
256;16;1.188579;0.001189
256;32;1.177297;0.001177
512;2;7.774355;0.007774
512;4;4.699643;0.004700
512;8;3.628254;0.003628
512;16;3.199160;0.003199
512;32;3.069184;0.003069
636;2;12.553972;0.012554
636;4;6.648901;0.006649
636;8;5.183370;0.005183
636;16;4.796552;0.004797
636;32;4.646271;0.004646
774;2;19.961143;0.019961
774;4;9.294986;0.009295
774;8;6.729105;0.006729
774;16;6.188171;0.006188
774;32;5.988303;0.005988
892;2;28.469267;0.028469
892;4;12.027127;0.012027
892;8;8.474146;0.008474
892;16;7.840657;0.007841
892;32;7.516727;0.007517
1024;2;47.515549;0.047516
1024;4;22.506321;0.022506
1024;8;13.783212;0.013783
1024;16;10.633483;0.010633
1024;32;9.623799;0.009624
1280;2;111.252838;0.111253
1280;4;41.916702;0.041917
1280;8;23.462423;0.023462
1280;16;19.163521;0.019164
1280;32;16.417238;0.016417
1408;2;146.638794;0.146639
1408;4;54.437420;0.054437
1408;8;30.337645;0.030338
1408;16;24.100069;0.024100
1408;32;20.870922;0.020871
1536;2;189.228638;0.189229
1536;4;68.653496;0.068653
1536;8;38.409615;0.038410
1536;16;30.646664;0.030647
1536;32;25.829084;0.025829
2048;2;442.167114;0.442167
2048;4;156.824036;0.156824
2048;8;83.430130;0.083430
2048;16;65.331039;0.065331
2048;32;54.323627;0.054324
4096;2;3519.863525;3.519864
4096;4;1187.681030;1.187681
4096;8;669.833679;0.669834
4096;16;444.861664;0.444862
4096;32;357.998657;0.357999
8192;2;28383.789062;28.383789
8192;4;9356.044922;9.356045
8192;8;6984.753418;6.984754
8192;16;3518.310059;3.518310
8192;32;2686.095703;2.686096

Total execution time: 1894.364875 seconds
Iterations: 32
Experiment taking into account CUDA memory allocation and matrices copying (host-device and device-host).
Benchmark completed.
