Matrix size;Threads per block;Time(ms);Time(s)
2;32;0,869187;0,000869
4;32;0,876902;0,000877
8;32;0,868702;0,000869
16;32;0,870702;0,000871
32;32;0,871091;0,000871
64;32;0,886698;0,000887
128;32;0,934583;0,000935
256;32;1,177297;0,001177
512;32;3,069184;0,003069
636;32;4,646271;0,004646
774;32;5,988303;0,005988
892;32;7,516727;0,007517
1024;32;9,623799;0,009624
1280;32;16,417238;0,016417
1408;32;20,870922;0,020871
1536;32;25,829084;0,025829
2048;32;54,323627;0,054324
4096;32;357,998657;0,357999
8192;32;2686,095703;2,686096

all time
