Matrix size;Threads per block;Time(ms);Time(s)
2;2;0,904534;0,000905
4;2;0,879943;0,000880
8;2;0,871287;0,000871
16;2;0,871136;0,000871
32;2;0,879684;0,000880
64;2;0,910927;0,000911
128;2;1,009046;0,001009
256;2;1,769833;0,001770
512;2;7,774355;0,007774
636;2;12,553972;0,012554
774;2;19,961143;0,019961
892;2;28,469267;0,028469
1024;2;47,515549;0,047516
1280;2;111,252838;0,111253
1408;2;146,638794;0,146639
1536;2;189,228638;0,189229
2048;2;442,167114;0,442167
4096;2;3519,863525;3,519864
8192;2;28383,789062;28,383789

all time
