Matrix size;Threads per block;Time(ms);Time(s)
2;16;0,008864;0,000009
4;16;0,008736;0,000009
8;16;0,009056;0,000009
16;16;0,009248;0,000009
32;16;0,009568;0,000010
64;16;0,010464;0,000010
128;16;0,019072;0,000019
256;16;0,101507;0,000102
512;16;0,699200;0,000699
636;16;1,213114;0,001213
774;16;2,136305;0,002136
892;16;3,244362;0,003244
1024;16;5,384735;0,005385
1280;16;12,549891;0,012550
1408;16;16,614393;0,016614
1536;16;21,569170;0,021569
2048;16;50,812359;0,050812
4096;16;405,770630;0,405771
8192;16;3411,448486;3,411448

only kernel time
