Matrix size;Threads per block;Time(ms);Time(s)
2;32;0,008832;0,000009
4;32;0,009088;0,000009
8;32;0,009056;0,000009
16;32;0,009248;0,000009
32;32;0,010528;0,000011
64;32;0,011808;0,000012
128;32;0,021536;0,000022
256;32;0,086078;0,000086
512;32;0,571632;0,000572
636;32;1,066471;0,001066
774;32;1,962502;0,001963
892;32;2,934663;0,002935
1024;32;4,418828;0,004419
1280;32;9,800731;0,009801
1408;32;13,071391;0,013071
1536;32;16,990511;0,016991
2048;32;40,027157;0,040027
4096;32;319,061707;0,319062
8192;32;2573,154053;2,573154

only kernel time
