Matrix size;Threads per block;Time(ms);Time(s)
2;2;0,010688;0,000011
4;2;0,009088;0,000009
8;2;0,009184;0,000009
16;2;0,009600;0,000010
32;2;0,010976;0,000011
64;2;0,020064;0,000020
128;2;0,092384;0,000092
256;2;0,667474;0,000667
512;2;5,180784;0,005181
636;2;8,756653;0,008757
774;2;15,724415;0,015724
892;2;23,440107;0,023440
1024;2;41,217781;0,041218
1280;2;103,405975;0,103406
1408;2;137,385345;0,137385
1536;2;178,875488;0,178875
2048;2;425,810211;0,425810
4096;2;3478,113281;3,478113
8192;2;28261,740234;28,261740

only kernel time
