Matrix size;Threads per block;Time(ms);Time(s)
2;8;0,873642;0,000874
4;8;0,869044;0,000869
8;8;0,895997;0,000896
16;8;0,869707;0,000870
32;8;0,876494;0,000876
64;8;0,879950;0,000880
128;8;0,934943;0,000935
256;8;1,243051;0,001243
512;8;3,628254;0,003628
636;8;5,183370;0,005183
774;8;6,729105;0,006729
892;8;8,474146;0,008474
1024;8;13,783212;0,013783
1280;8;23,462423;0,023462
1408;8;30,337645;0,030338
1536;8;38,409615;0,038410
2048;8;83,430130;0,083430
4096;8;669,833679;0,669834
8192;8;6984,753418;6,984754

all time
