Matrix size;Threads per block;Time(ms);Time(s)
2;16;0,871404;0,000871
4;16;0,888193;0,000888
8;16;0,867881;0,000868
16;16;0,908408;0,000908
32;16;0,872291;0,000872
64;16;0,872491;0,000872
128;16;0,936338;0,000936
256;16;1,188579;0,001189
512;16;3,199160;0,003199
636;16;4,796552;0,004797
774;16;6,188171;0,006188
892;16;7,840657;0,007841
1024;16;10,633483;0,010633
1280;16;19,163521;0,019164
1408;16;24,100069;0,024100
1536;16;30,646664;0,030647
2048;16;65,331039;0,065331
4096;16;444,861664;0,444862
8192;16;3518,310059;3,518310

all time
