Matrix size;Threads per block;Time(ms);Time(s)
2;8;0,008672;0,000009
4;8;0,008928;0,000009
8;8;0,008896;0,000009
16;8;0,009312;0,000009
32;8;0,009888;0,000010
64;8;0,010496;0,000010
128;8;0,025376;0,000025
256;8;0,150805;0,000151
512;8;1,100927;0,001101
636;8;1,555328;0,001555
774;8;2,695244;0,002695
892;8;3,860657;0,003861
1024;8;8,547556;0,008548
1280;8;16,875824;0,016876
1408;8;22,248709;0,022249
1536;8;28,891100;0,028891
2048;8;68,455826;0,068456
4096;8;641,351685;0,641352
8192;8;6840,626465;6,840626

only kernel time
